,Year,Month,Employment to population ratio (%),Employment to population ratioMales (%),Employment to population ratioFemales (%),Unemployment rate (%),Unemployment rate looked for full-time work (%),Unemployment rate looked for full-time workMales (%),Unemployment rate looked for full-time workFemales (%),Unemployment rate looked for only part-time work (%),Unemployment rate looked for only part-time workMales (%),Unemployment rate looked for only part-time workFemales (%),Participation rate (%),Employed total (000),Employed totalMales (000),Employed totalFemales (000),Employed full-time (000),Employed full-timeMales (000),Employed full-timeFemales (000),Employed part-time (000),Employed part-timeMales (000),Employed part-timeFemales (000),Unemployed total (000),Unemployed totalMales (000),Unemployed totalFemales (000),Unemployed looked for full-time work (000),Unemployed looked for full-time workMales (000),Unemployed looked for full-time workFemales (000),Unemployed looked for only part-time work (000),Unemployed looked for only part-time workMales (000),Unemployed looked for only part-time workFemales (000),Unemployment rateMales (000),Unemployment rateFemales (000),Labour force total (000),Labour force totalMales (000),Labour force totalFemales (000),Participation rateMales (000),Participation rateFemales (000),Not in the labour force (000),Employed total growth (000),Full-time employed growth (000),Part-time employed growth (000)
2012-06-01,2012,6,61.7272745,68.0773751,55.5567995,5.1633835,5.1153325,4.5030522,6.2202557,5.2763697,6.8528061,4.5895939,65.0880185,11339.0410669,6163.059064,5175.9820029,7959.6798209,5154.6522285,2805.0275924,3379.361246,1008.4068355,2370.9544105,617.3545549,317.2500171,300.1045378,429.1147335,243.0618833,186.0528503,188.2398214,74.1881338,114.0516876,4.8956001,5.4802738,11956.3956218,6480.3090811,5476.0865407,71.5817304,58.7779945,6413.184367487889,-24.692329999999856,-28.070875100000194,3.378545099999883
2012-07-01,2012,7,61.6898821,67.8335147,55.7197815,5.1770056,5.3219099,4.9613124,5.9737308,4.833906,5.9548876,4.3543623,65.057935,11348.8568831,6150.1561366,5198.7007465,7966.8182884,5148.7777862,2818.0405021,3382.0385947,1001.3783504,2380.6602443,619.6081036,332.188828,287.4192756,447.8194346,268.7820715,179.037363,171.788669,63.4067564,108.3819126,5.1245164,5.2390264,11968.4649867,6482.3449646,5486.1200221,71.4974112,58.8003472,6428.161015493279,9.815816199999972,7.138467499999933,2.6773487000000387
2012-08-01,2012,8,61.6425817,67.8273467,55.6322467,5.1431138,5.531457,5.2184995,6.1002576,4.2125021,5.2854854,3.75772,64.9848253,11356.826453,6158.7746278,5198.0518253,7980.2026406,5164.8874576,2815.315183,3376.6238124,993.8871701,2382.7366423,615.7639543,339.8327084,275.9312459,467.2682193,284.3694443,182.898775,148.495735,55.4632641,93.0324708,5.2293159,5.0407764,11972.5904073,6498.6073362,5473.9830711,71.5699663,58.5854061,6451.080583625937,7.9695699000003515,13.384352200000649,-5.4147822999998425
2012-09-01,2012,9,61.741088,67.7383594,55.9127154,5.4884914,5.7015934,5.4921686,6.0773418,4.9765929,6.630128,4.2649095,65.3265289,11391.6734164,6159.8540956,5231.8193207,8025.1422316,5164.5074143,2860.6348173,3366.5311848,995.3466813,2371.1845034,661.5395579,370.8057893,290.7337686,485.2266282,300.1269311,185.0996971,176.3129296,70.6788581,105.6340715,5.6779222,5.2644812,12053.2129743,6530.6598849,5522.5530894,71.816017,59.0198018,6397.504027288614,34.84696340000119,44.93959099999938,-10.092627600000014
2012-10-01,2012,10,61.6522523,67.9411095,55.5410245,5.4150233,5.560095,5.1899581,6.2287787,5.0655328,5.9608451,4.6839709,65.1818655,11390.9126792,6186.5142885,5204.3983907,8037.2290357,5193.8009695,2843.4280662,3353.6836434,992.713319,2360.9703244,652.1337716,347.236717,304.8970546,473.1872296,284.3117536,188.8754759,178.946542,62.9249633,116.0215787,5.314508,5.5342295,12043.0464508,6533.7510055,5509.2954453,71.7545086,58.7948675,6433.0225576882585,-0.7607372000002215,12.086804100000336,-12.847541399999955
2012-11-01,2012,11,61.5343493,67.7021448,55.5412485,5.2540028,5.4239791,5.0212603,6.1518174,4.847123,6.596569,4.0990279,64.946648,11384.729646,6172.9610486,5211.7685973,8015.7012155,5182.3806407,2833.3205748,3369.0284305,990.5804079,2378.4480226,631.3237784,343.9371974,287.386581,459.7042162,273.9779683,185.726248,171.6195621,69.9592291,101.660333,5.2776211,5.2260133,12016.0534244,6516.898246,5499.1551783,71.4742868,58.6038959,6485.368580319935,-6.183033200000864,-21.52782019999995,15.344787099999849
2012-12-01,2012,12,61.5080594,67.8536346,55.3427387,5.4333828,5.5779358,5.1655955,6.325714,5.0905951,6.5464435,4.456123,65.0420425,11395.4591567,6194.9839098,5200.4752469,8003.1311749,5181.109768,2822.0214069,3392.3279818,1013.8741418,2378.45384,654.7330659,353.2352844,301.4977815,472.780939,282.2131633,190.5677757,181.9521269,71.0221211,110.9300058,5.3943717,5.4798121,12050.1922226,6548.2191942,5501.9730284,71.7226193,58.5512364,6476.581782997995,10.729510700000901,-12.570040600000539,23.299551300000076
2013-01-01,2013,1,61.7772245,68.0424798,55.6907094,5.3859834,5.4498408,5.0861096,6.1067263,5.2342357,7.0888281,4.4255734,65.2939456,11464.3411779,6222.1479669,5242.193211,8063.4165092,5209.7110837,2853.7054255,3400.9246688,1012.4368833,2388.4877855,652.6173784,356.4162646,296.2011138,464.7727351,279.1705378,185.6021973,187.8446433,77.2457268,110.5989165,5.4178427,5.3481406,12116.9585564,6578.5642315,5538.3943248,71.9400802,58.8374172,6440.5944373036,68.88202119999914,60.28533430000061,8.596686999999747
2013-02-01,2013,2,61.7006383,67.8203323,55.7563005,5.4271453,5.5238198,5.1070276,6.2700214,5.202487,6.9251146,4.432083,65.2413829,11469.12072,6211.713066,5257.4076541,8010.382598,5162.3059656,2848.0766324,3458.7381221,1049.4071004,2409.3310217,658.1654395,355.9089643,302.2564753,468.3499091,277.8292073,190.5207018,189.8155304,78.0797569,111.7357735,5.4191451,5.436596,12127.2861596,6567.6220302,5559.6641294,71.706195,58.9618162,6461.047840291347,4.779542100000981,-53.03391120000015,57.81345330000022
2013-03-01,2013,3,61.4149594,67.4455598,55.5579022,5.6340511,5.8498516,5.5713571,6.3536843,5.1291262,6.4041047,4.5782916,65.0816955,11434.9206987,6187.2195991,5247.7010996,7992.7431141,5162.6958227,2830.0472914,3442.1775846,1024.5237764,2417.6538082,682.7137196,374.703638,308.0100815,496.6148412,304.6027267,192.0121145,186.0988783,70.1009113,115.997967,5.7102716,5.5440262,12117.6344182,6561.9232371,5555.7111811,71.5301242,58.8188338,6501.478567570324,-34.200021300001026,-17.639483900000414,-16.56053750000001
2013-04-01,2013,4,61.5128322,67.5153076,55.6830892,5.5833692,5.8261438,5.4698722,6.4676984,5.0128546,6.0932818,4.548754,65.1504207,11468.0716701,6201.6914926,5266.3801775,8024.0570882,5178.6029966,2845.4540916,3444.0145819,1023.088496,2420.9260859,678.169489,366.0383066,312.1311823,496.4149548,299.6536361,196.7613186,181.7545342,66.3846705,115.3698637,5.5732851,5.5952415,12146.2411591,6567.7297993,5578.5113598,71.5002186,58.9833501,6497.139848415123,33.150971400000344,31.31397410000045,1.8369972999998936
2013-05-01,2013,5,61.3780433,67.5276918,55.4053827,5.6129588,5.9539737,5.5403833,6.6979201,4.8126238,6.0033633,4.2876167,65.0280404,11457.8389148,6210.8932132,5246.9457017,8005.4137904,5167.6890129,2837.7247775,3452.4251244,1043.2042003,2409.2209241,681.3687207,369.7300503,311.6386704,506.8159161,303.1028391,203.713077,174.5528046,66.6272111,107.9255935,5.6184655,5.6064395,12139.2076355,6580.6232634,5558.5843721,71.5475672,58.6961467,6528.443366789777,-10.232755299999553,-18.643297800000255,8.410542500000247
