,Year,Month,Monthly hours worked in all jobs (000),Monthly hours worked in all jobs Males(000),Monthly hours worked in all jobs Females(000),Monthly hours worked in all jobs (employed full-time) (000),Monthly hours worked in all jobs (employed full-time) Males(000),Monthly hours worked in all jobs (employed full-time) Females(000),Monthly hours worked in all jobs (employed part-time) (000),Monthly hours worked in all jobs (employed part-time) Males(000),Monthly hours worked in all jobs (employed part-time) Females(000),Monthly hours worked in all jobs New South Wales(000),Monthly hours worked in all jobs Victoria(000),Monthly hours worked in all jobs Queensland(000),Monthly hours worked in all jobs South Australia(000),Monthly hours worked in all jobs Western Australia(000),Monthly hours worked in all jobs Tasmania(000),Monthly hours worked in all jobs Northern Territory(000),Monthly hours worked in all jobs Australian Capital Territory(000),Monthly worked hour growth (000),Monthly worked hour growth Males (000),Monthly worked hour growth Females (000),Monthly full-time worked hour growth (000),Monthly part-time worked hour growth (000),Monthly hours worked per thousand people New South Wales(000),Monthly hours worked per thousand people Victoria(000),Monthly hours worked per thousand people Queensland(000),Monthly hours worked per thousand people South Australia(000),Monthly hours worked per thousand people Western Australia(000),Monthly hours worked per thousand people Tasmania(000),Monthly hours worked per thousand people Northern Territory(000),Monthly hours worked per thousand people Australian Capital Territory(000)
1980-04-01,1980,4,939099.42762,656960.593161,282138.834459,876540.52246,643279.46789,233261.05457,62558.90516,13681.125271,48877.779889,334790.98749,252837.10222,143076.64869,80417.89657,80102.957234,25445.170616,8261.6130501,14167.048614,-3071.4916339999763,345.1987200001022,-3416.6903540000203,-2337.621990000014,-733.8696439999985,41.240574955654104,38.13588473732636,27.969240287361938,45.783032490748646,30.450451316809854,47.516658479925304,33.63848961767101,33.092848899789765
1980-05-01,1980,5,948000.709185,661344.955832,286655.753353,887592.43451,648848.86342,238743.57109,60408.274675,12496.092412,47912.182263,336464.03957,257212.21652,141642.76385,82088.589112,82691.178652,25808.171613,7883.5254227,14210.21534,8901.28156500007,4384.362670999952,4516.918894000002,11051.912050000043,-2150.6304850000015,41.44666661369796,38.7957912668366,27.688938295376794,46.734181105607746,31.434341462784158,48.19453149019608,32.099044880700326,33.19368217706143
1980-06-01,1980,6,980645.296437,685508.473852,295136.822585,916705.99298,672287.24754,244418.74544,63939.303457,13221.226312,50718.077145,348488.91867,266161.68769,147805.79525,84414.467126,83438.786837,27325.123644,8492.3283673,14518.200936,32644.587251999998,24163.51801999996,8481.069232000038,29113.55846999993,3531.0287820000012,42.927927897265334,40.14565644881522,28.893714250806372,48.05833596697979,31.718538294305485,51.02730839215686,34.57788423167753,33.91310660126138
1980-07-01,1980,7,956182.063771,666681.072154,289500.991617,891280.25536,653084.31089,238195.94447,64901.808411,13596.761264,51305.047147,338703.28581,256399.71778,145729.70633,82644.820197,84205.753461,25966.647137,8358.7658538,14173.367838,-24463.232666000025,-18827.401697999914,-5635.830967999995,-25425.73762000003,962.5049539999964,41.722503795269766,38.6732405888475,28.48787143583227,47.05085123654995,32.010094070174105,48.49047084407096,34.034062922638434,33.10760999299229
1980-08-01,1980,8,954106.105762,665897.391913,288208.713849,889302.74871,652162.56385,237140.18486,64803.357052,13734.828063,51068.528989,337320.03058,257448.15059,143624.68508,83188.425077,84346.824021,26189.338831,7901.2740045,14087.359335,-2075.9580090000527,-783.6802410000237,-1292.277768000029,-1977.5066499999957,-98.45135899999877,41.55211019709288,38.831377636163445,28.076372804222462,47.36033309251353,32.06372083212955,48.90632834920635,32.171311093241044,32.90670248773651
1980-09-01,1980,9,958140.270217,670951.919326,287188.350891,892265.30642,656735.02594,235530.28048,65874.963797,14216.893386,51658.070411,340368.55807,255726.21486,146754.83518,83875.06649,82932.984721,26175.623039,8033.2586936,14273.731726,4034.1644550000783,5054.527413000003,-1020.3629579999833,2962.557710000081,1071.6067450000046,41.927637111357484,38.571654905805524,28.688268044179452,47.75124764588671,31.526261963430397,48.88071529225023,32.70870803583062,33.34205028264424
1980-10-01,1980,10,962986.944365,674504.030154,288482.914211,898199.40305,660718.25013,237481.15292,64787.541315,13785.780024,51001.761291,340462.20642,254474.87729,145808.11937,84139.70917,89811.652726,25759.140816,8122.6533831,14408.593787,4846.674147999962,3552.1108280000044,1294.5633200000157,5934.096629999927,-1087.4224820000018,41.939173000739096,38.38291336068418,28.503199955038607,47.901912422430975,34.14112853569528,48.102970711484595,33.0726929279316,33.65707495211399
1980-11-01,1980,11,957708.986431,671346.907072,286362.079359,891060.0477,656357.00664,234703.04106,66648.938731,14989.900432,51659.038299,338610.71271,256026.44079,146490.50646,82457.78531,86001.791786,25632.164631,8467.6019987,14021.979715,-5277.957933999947,-3157.1230820000637,-2120.834852,-7139.355349999969,1861.3974159999998,41.71110035846267,38.616938534517864,28.63659592610693,46.944369661258186,32.692842616133206,47.865853652661066,34.47720683509772,32.75398204858678
1980-12-01,1980,12,958456.092456,671708.347685,286747.744771,892431.70008,657024.45888,235407.2412,66024.392376,14683.888805,51340.503571,338319.79615,255913.9015,145100.9278,83268.963628,86223.15467,26654.427832,8516.0909412,14458.835129,747.1060249999864,361.4406130000716,385.665411999973,1371.652379999985,-624.5463549999986,41.67526436930279,38.59996402660674,28.364955097253446,47.40618481525761,32.77699181555539,49.774841889822596,34.67463738273616,33.77443384489605
1981-01-01,1981,1,956190.89904,671950.040493,284240.858547,890738.45134,658255.30611,232483.14523,65452.4477,13694.734383,51757.713317,337286.50367,255431.24044,145476.02253,83257.204444,86291.282844,26234.65224,8708.3315671,13505.665088,-2265.1934159999946,241.6928079999052,-2506.886224000016,-1693.2487399999518,-571.9446760000064,41.54798025006159,38.527163371996565,28.43828023262633,47.39949014745232,32.80289015585798,48.99094722689075,35.457376087540716,31.547921252043913
